Date,A,AAL,AAP,AAPL,ABBV,ABC,ABT,ACGL,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AFL,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALK,ALL,ALLE,AMAT,AMCR,AMD,AME,AMGN,AMP,AMT,AMZN,ANET,ANSS,AON,AOS,APA,APD,APH,APTV,ARE,ATO,ATVI,AVB,AVGO,AVY,AWK,AXP,AZO,BA,BAC,BALL,BAX,BBWI,BBY,BDX,BG,BIIB,BIO,BK,BKNG,BKR,BLK,BMY,BR,BRO,BSX,BWA,BXP,CAH,CARR,CAT,CBOE,CBRE,CCL,CDAY,CDNS,CDW,CE,CF,CHRW,CNC,CNP,COF,CPB,CPT,CTLT,CZR,GOOG,GOOGL,KMX,LNT,MMM,MO,T,TECH,WRB
2023-02-24,1522100,20471800,2080300,55469600,5621100,1101200,5476800,1181700,1735000,8444500,3177900,2870600,1812800,4971500,1487500,3248100,3863100,1814700,4102100,293700,741000,2059500,1301700,699700,1302300,1365700,1048900,5808400,13012200,46700000,1115500,1853900,363900,2727000,57053800,1327200,987600,675700,810400,5303800,1507900,2197500,1496900,986600,515400,3903900,737300,1535300,589200,917700,1667400,148500,9658700,27046600,1548500,4388400,4651700,2460900,832200,696300,904500,172800,4243400,563700,4751300,553500,6403400,371800,618100,8910900,2234500,942700,1838800,3080500,2105500,662800,1206700,32077800,741300,1180500,529500,3192900,2260300,910700,2960400,3384900,1931900,1240600,454500,1465600,3117400,31295600,36585100,1466100,1562100,2862900,5704900,29138100,677800,1630700
2023-02-27,1149600,15494300,2467500,44998500,6828800,1010200,4489800,1469200,1512900,3500600,2769500,2279800,1254200,2251800,957200,2931400,9350500,1764700,3591500,390600,729500,2099000,1907600,672100,1420500,1847800,1025300,5362700,7825600,45617300,1128900,1723000,370600,2348100,47470300,1669500,697200,559500,668400,4399200,1017900,1759300,1124700,574400,493000,3909100,623500,1832100,596400,1159600,1909000,242100,4318900,30137500,1728100,5094900,4331400,3333000,593800,796600,822200,240800,3919500,362900,3912000,560000,4990700,385600,712300,7524600,1680100,1144500,2569300,3543300,1720900,577500,1063300,23336700,1332600,1354100,690400,1425500,2810700,1054100,2832100,3343300,1792400,1508300,1280100,1015200,2140900,22724300,27502300,1292100,3565100,3556000,9168800,22981100,919700,967300
2023-02-28,2342500,15597800,2934300,50547000,7561700,1852900,7877000,2151700,2160400,2714200,2644400,5926200,2052400,1896000,1659800,3593800,7601600,3066800,6205100,372600,1595900,2348100,1630900,754100,1585800,2013000,1292800,13010900,8308600,44220100,1046500,2615700,633400,2741400,43959300,2056700,1008200,900800,1017300,5287700,1038200,3320500,2126100,1296400,1069300,4427800,945500,2782200,945700,2130300,2301400,284300,3589900,32620600,2224600,8207200,4542400,2387500,1538200,1327100,1083500,252700,5744800,340000,5278900,859100,8697900,642000,1615800,7207200,2045600,1610200,5323100,8580600,2647700,648200,2430400,39800000,1497100,1715100,819100,1398400,3417600,1628700,4185000,4461200,2777500,3386900,1061000,1972100,2302700,30546900,30142000,2109900,4235500,3380500,8018500,34154800,949600,1667800
2023-03-01,3132800,11730500,2601600,55479000,5485800,965500,3963500,2655900,1700500,2377700,2600300,2987600,1387800,1300100,1841700,2997900,4371200,2466500,4360100,270600,1571100,1497500,1311500,932400,1236000,1681600,841600,6756800,5790400,44266000,733600,2441300,348200,3261000,52299500,1767700,557500,944700,1855900,4747900,1038100,3183400,2095300,1675900,709400,4286200,614400,1548400,385400,6564700,2566500,209000,4402300,29281600,2266300,6337500,4462500,3241000,872600,661700,1167600,194900,4165800,328900,3830100,635000,5883400,386900,1279500,7522400,1522700,1214200,1902000,5315600,4117700,567700,1183300,26906600,837700,1204700,521200,1370100,2164900,1075800,3447500,4220300,1976200,2379800,622400,1212300,1978900,26323900,31111200,1457500,2108700,4914700,8102200,23339900,2022100,1372000
2023-03-02,1879200,11728300,1581600,52238100,4567800,1360500,5209900,1766600,2278300,3845800,2906400,2772500,2053100,1523300,1261100,2549200,3317300,1984200,4008200,339300,552400,1379500,1801000,673400,981900,1730000,924700,6502200,6474900,60108600,782700,1777100,535300,1884900,55509400,1955100,557500,797000,915500,3778000,1092800,1680700,1602700,1209000,544800,8166800,697400,2752500,448700,5301100,1795000,157400,5451500,44607200,2162900,4236600,3048100,5525700,977300,856600,732100,288400,3902700,328700,5038900,490200,6068900,578600,806000,4591800,1969600,1155700,2250000,4663000,2676500,442100,1664000,22463300,1115700,1472400,517600,1492700,2800200,931900,3161200,6016300,2178700,1809000,863600,1543600,2088900,23328600,32204400,1628100,1994900,7589300,7355100,24184800,1472200,1596200
2023-03-03,1147800,14389500,1907500,70732300,4851200,1315900,4982400,3066300,1596100,3725500,3112400,1866800,2013000,1789900,1543100,2715600,3246500,1850400,3783500,259500,898900,2320000,1186100,1446900,1473900,1592300,659100,7232400,7355100,54536200,589500,2214500,470700,2044800,55759600,1830000,635100,755900,826100,4325800,929100,1786100,1041600,1210100,565300,9129300,759200,4608800,411000,2557500,2875600,157300,7496800,39109100,1202600,4104400,3271400,3027800,766800,1052800,842000,199400,5540200,419100,4769200,812200,6540100,459200,669900,8236800,1663800,1187300,1665100,5822700,2314700,398000,1127800,29919900,740200,1563600,658100,1262900,2219000,863600,2921000,4985800,1725400,1937600,753200,1925800,3108600,30242500,35160100,1293000,1910000,3040800,5755400,23501500,852500,1445000
2023-03-06,1153600,13504800,1607300,87558000,4051900,1143900,5005100,3749900,1649100,3060300,2664100,2764500,2480600,1299100,773100,1735400,4768200,2146800,4597200,420100,1285400,1693600,971800,2190000,1479600,1372400,691400,5775700,8130800,54541300,647000,2591000,506500,1788900,52112400,2293700,599900,575100,1004100,6502000,631100,2091900,1034000,1006900,573100,4548800,540000,2498300,442000,1368800,2730700,147600,7004400,36646700,1659400,4330400,2954100,2503700,786100,985200,1116500,175600,4328500,448000,4666100,543300,7000100,430000,914500,6288900,2107200,1027100,3206500,8572500,2317100,664700,1092700,32128800,815500,1614800,625400,1229200,1940900,1032500,3273900,3854200,1758700,3279000,577200,1153000,3036900,28288200,32639300,1118700,1377200,2820800,7112300,24072100,702100,1005400
2023-03-07,1088400,17951300,1085600,56182000,4606900,1400200,6349000,3132000,2219300,2252800,2415100,2400800,1923300,1209800,955600,3381000,2799900,1876500,3540600,288700,819000,1457000,1331500,933000,1480900,1222000,675000,5225900,7441300,70959000,876100,2362200,544900,1907000,49100700,1482800,870000,546900,854400,4253600,893300,2186600,1180800,1017000,588700,5331400,676600,1933400,379300,1136400,2906400,157500,4619700,52855300,1052300,6239000,2375400,1889400,1229800,884500,640900,122900,6113300,297200,4133200,417200,8135800,737800,825700,7311500,1670000,1202600,2640300,7577900,3018400,701200,949600,24794000,988200,1403100,469000,926600,2227000,974500,3646900,3849000,2823100,3255000,1402100,1417200,4173000,24101500,27835500,1306300,1178700,3372800,7032200,27944000,630400,1263800
2023-03-08,1135900,11399600,1446600,47204800,5860100,1544500,6252600,2738200,1462700,2518900,3182000,1667300,1294000,1012300,844700,2108300,4575800,2332200,5651400,412400,865200,1224700,921800,572300,1212400,1824800,650600,4474900,5360900,69529800,1145200,1842200,743400,1603000,44899100,3860400,516300,627500,650100,4729400,695600,2509300,1356400,985500,606500,4290000,550300,2091200,449700,867500,2101400,106600,2406900,40045600,1079300,4862600,1968700,2018500,832200,630900,649600,189100,4988700,211400,3407400,554800,5962900,459600,1336600,5738600,1272100,794100,2804500,4278500,2068600,397000,1129100,29901000,543700,1440600,568700,1199200,2046100,1197000,3686500,3561200,2338500,5360300,997200,1433800,1961100,25395200,34103300,1396400,1490600,3434700,5304700,31510300,1192800,2027500
2023-03-09,1328900,18505000,1329700,53833600,5350200,1381600,5146000,3191700,1949800,3798300,3627300,2704900,1772600,1439700,887600,2006500,3208300,3232300,7252100,462700,1025900,2155200,1708800,1053800,1329600,1651700,898700,5701400,8281700,79496700,1620400,1736900,832900,1463600,56218700,4154700,542400,948400,1497300,5388600,756700,2245100,1265700,1189400,961400,4787100,1030500,2177500,401500,1272900,4349400,139200,4284000,112457900,1612800,4225500,1577500,2051400,1038700,1016300,884000,185900,7043500,326300,4935100,787100,7553600,668600,1323900,6083600,1885500,1572100,2954600,4393800,2518800,628100,1388400,37505400,1198900,1864500,582300,1018900,2288200,2120300,3607600,5010600,2790600,2940000,861400,2385000,3531000,24438900,28813500,1970900,1393500,3463700,6671700,24711100,822100,1385600
